edges__source,edges__strength,edges__target
62914,0.373455432,62915
62914,0.418686644,62916
62914,0.346026298,62918
62914,0.418686644,62930
62914,0.346026298,62936
62914,0.346026298,63204
62914,0.498266574,63403
62914,0.418686644,73905
62914,0.221454948,168506
62930,0.326532245,62932
62930,0.378692544,62933
62930,0.378692544,62935
62930,0.346026298,63215
62930,0.41326898,63403
62930,0.326532245,73908
63701,0.36,63703
63701,0.36,63707
63701,0.36,63822
63701,0.340273889,73906
63701,0.40495405,73911
63701,0.36,115502
63701,0.36,63702
63701,0.49,73910
63701,0.49,189012
63701,0.49,189022
62907,0.346026298,62914
62907,0.378692544,62930
62907,0.340273889,73906
62907,0.340273889,157220
62907,0.340273889,168479
62907,0.326532245,189010
62907,0.41326898,63403
73906,0.326532245,73908
73906,0.444448889,73910
73906,0.340273889,157220
73906,0.340273889,168427
73906,0.444448889,73911
157220,0.308646914,168483
157220,0.378692544,157225
157220,0.340273889,168427
168479,0.340273889,189027
168479,0.444448889,189024
189010,0.326532245,189031
62910,0.36,63701
62910,0.36,63702
62910,0.308646914,63703
62910,0.390625,63707
62910,0.340273889,73906
62910,0.308646914,189022
62910,0.444448889,73910
62910,0.308646914,136909
63703,0.308646914,63707
63703,0.444448889,73910
63703,0.36,137002
63703,0.308646914,157506
63703,0.308646914,157507
63703,0.308646914,158108
63703,0.36,115502
63703,0.444448889,189022
63707,0.40495405,73911
63707,0.308646914,189022
63707,0.444448889,73910
62932,0.326532245,62936
62932,0.326532245,63403
62932,0.326532245,189021
62932,0.41326898,62935
62923,0.319473648,115603
62923,0.373455432,158202
62923,0.308646914,168416
62923,0.308646914,199303
62923,0.373455432,168483
63215,0.36,104811
63215,0.498266574,63403
62915,0.308646914,62916
62915,0.308646914,63206
62915,0.308646914,63215
62915,0.308646914,63403
62915,0.308646914,73912
62915,0.36,104811
62915,0.335183103,74014
62916,0.31640625,189026
62916,0.31640625,209612
62916,0.346026298,63802
63206,0.217780889,157508
63206,0.31640625,168416
63403,0.326532245,63821
63403,0.326532245,63822
63403,0.326532245,73908
63403,0.31640625,104810
63403,0.36,104811
63403,0.326532245,157220
63403,0.31640625,168416
63403,0.326532245,168427
63403,0.326532245,168479
63403,0.326532245,168524
63403,0.326532245,189021
63403,0.326532245,189022
63403,0.326532245,189024
63403,0.31640625,189026
63403,0.41326898,73906
63403,0.326532245,73913
63403,0.284440889,104813
63403,0.41326898,189027
73912,0.31640625,73919
73912,0.31640625,74002
73912,0.31640625,168427
104811,0.36,157315
104811,0.319473648,168428
104811,0.326532245,178701
104811,0.4225,157211
104811,0.4225,168485
189026,0.335183103,189032
62918,0.308646914,63504
62918,0.319473648,63808
62918,0.280274948,63812
62918,0.280274948,147117
63504,0.308646914,158202
62920,0.340273889,62925
62920,0.340273889,62935
62925,0.378692544,62930
62925,0.40495405,62935
62921,0.378692544,62930
62921,0.378692544,62935
115603,0.37051569,136806
115603,0.319473648,168483
115603,0.319473648,178704
115603,0.546313157,168428
158202,0.308646914,168433
158202,0.373455432,168424
168416,0.308646914,168421
168416,0.308646914,168424
168416,0.319473648,168428
168416,0.31640625,168441
168416,0.335183103,168466
168416,0.31640625,168475
168416,0.390625,168515
168416,0.31640625,168524
168416,0.349174628,168530
168416,0.31640625,189024
168416,0.418686644,168433
168416,0.444448889,168483
199303,0.221454948,199305
62933,0.528921653,62935
62935,0.40495405,189021
62936,0.326532245,63403
189021,0.340273889,189027
62937,0.49,63822
62937,0.340273889,189027
62937,0.25,178805
62937,0.669418512,189021
63822,0.36,73910
63822,0.31640625,73912
63822,0.31640625,168416
63822,0.326532245,168524
63822,0.36,189022
63822,0.340273889,189027
63822,0.25,168401
63822,0.528921653,168427
63822,0.528921653,189021
189027,0.326532245,189031
63002,0.326532245,63403
63002,0.378692544,63822
63002,0.326532245,168442
63002,0.378692544,189021
63002,0.373455432,63006
63002,0.41326898,73908
63002,0.390625,168416
168442,0.326532245,168458
168442,0.326532245,189031
168442,0.41326898,189010
63003,0.3136,63214
63003,0.340273889,63506
63003,0.308646914,104911
63003,0.501731389,63004
104911,0.308646914,115911
104911,0.308646914,136805
104911,0.351162908,136806
104911,0.308646914,157326
104911,0.351162908,168431
104911,0.351162908,168530
104911,0.444448889,168428
63004,0.36,63208
63004,0.3136,63307
63004,0.340273889,63506
63004,0.319473648,63808
63004,0.319473648,104811
63004,0.319473648,115603
63004,0.319473648,136806
63004,0.319473648,157211
63004,0.36,63214
63307,0.3136,74009
63307,0.3136,74010
63307,0.3136,157320
63307,0.3136,168481
63307,0.36,63405
157211,0.49,157212
157211,0.390625,178607
63006,0.308646914,63403
63006,0.308646914,63504
63006,0.308646914,168416
73920,0.304394958,104911
73920,0.304394958,168428
73920,0.40495405,73921
104817,0.36,157314
104817,0.321114889,157320
104817,0.401106889,157325
104817,0.321114889,157610
104817,0.390625,157616
104817,0.31640625,178716
104817,0.36,209403
104817,0.444448889,157326
104817,0.321114889,157612
104817,0.401106889,168501
104817,0.321114889,178609
168428,0.332836686,168431
168428,0.319473648,168438
168428,0.319473648,168441
168428,0.319473648,168466
168428,0.37051569,168483
168428,0.37051569,168503
168428,0.319473648,178701
168428,0.319473648,178703
168428,0.37051569,178708
168428,0.425325709,168436
168428,0.425325709,168530
63212,0.304394958,73920
63212,0.319473648,168428
63212,0.326532245,63823
63212,0.274376916,115404
137008,0.319473648,137019
137008,0.351162908,157326
137008,0.326532245,168417
137008,0.319473648,168428
137008,0.326532245,168465
137008,0.319473648,168503
137008,0.326532245,168511
137008,0.326532245,178701
