nodes__y,nodes__x,nodes__id
1977.895896,2130.844927,157408
2757.860352,1929.050842,52714
2711.391113,1932.069275,52715
2666.997559,1929.097778,136807
2180.64502,1543.0467,62803
2214.251709,1568.263794,157224
2150.688477,1544.101318,157605
2070.226929,1740.140015,62804
2140.256226,1746.659058,158112
1932.506858,2107.789019,62807
1903.629011,2100.512695,157901
1890.449677,2063.794678,62835
2756.461426,1591.101624,62811
2698.286865,1576.985229,104901
1998.863945,2372.252441,62905
2190.748291,1830.956177,62815
2940.851196,1640.741455,62821
2865.403809,1627.206177,209504
2133.714111,1027.97386,62822
2130.793423,1054.621304,147110
2043.274536,1775.1073,62825
2096.167114,1765.454224,62841
2737.715088,1504.04187,62826
2695.424805,1515.640991,115403
2084.451904,1162.585583,62827
2050.246649,1129.35133,62836
2786.98999,1939.771118,62833
2832.603516,2022.440125,62834
2750.573975,1854.208862,62843
2678.405273,1861.654053,147115
2182.576904,1581.912964,62849
1956.755302,2459.993164,62901
2086.22168,1397.216064,62902
2001.68811,1420.270874,63817
2103.555054,1158.417603,62906
2046.422852,1285.404175,62909
2160.117676,1093.736206,136909
1964.654419,1235.234741,178713
2237.999023,1126.19043,63204
2261.616211,1126.673462,73905
2216.281494,1122.620972,168506
2383.370361,1357.88562,74014
2190.294434,1129.845825,62917
2446.937744,1203.710754,63812
2433.903809,1186.630249,147117
1981.167358,1196.710449,62922
1939.21936,1183.470526,158001
1988.741089,1137.241699,62924
2095.607788,1421.301147,62926
2207.755371,1474.375,62929
2149.561768,1491.174316,168539
2136.589966,1132.842041,62931
2122.967163,1089.230469,62934
2099.672018,1055.844747,115504
2046.456604,1306.663452,178805
2861.546387,1603.088989,62939
2397.781738,1190.720825,62941
2021.853638,1371.435059,63001
2091.065552,1348.668945,73913
2159.289429,1756.990234,63005
2237.873535,1087.527588,63103
2192.110596,1494.032227,157508
2055.180603,1263.093018,63207
2607.510254,2125.467285,63814
2591.444126,2018.68553,115404
2111.739258,1374.968262,63302
2878.211426,1711.652832,63303
2827.176758,1705.735718,63304
2767.961426,1695.093628,199306
2200.384033,2078.090887,63306
2604.266846,2193.155762,157215
2070.109863,1371.140808,104813
2016.177063,1346.115234,63404
1981.247681,2033.810531,63406
2034.270126,2060.218315,94414
2430.831543,1368.877197,63503
2857.712891,1254.461182,63505
2823.193359,1251.084595,189209
2737.460205,1703.614868,168545
2286.176514,1095.082062,104703
2625.038574,1850.420837,63809
2085.486938,1706.032349,63810
2095.973511,1128.113342,63811
2067.214827,1085.968506,104814
2581.672607,1800.876884,157212
2737.104004,1118.655762,63818
2016.898743,1328.848999,168401
2224.989258,1544.124878,73902
2667.179688,1326.980119,73903
2705.054915,1330.659302,73907
2085.202148,1669.088379,73904
2162.746826,1411.982056,73918
2611.508301,2160.486084,116309
2125.580078,1416.773071,158212
2154.012207,2124.734796,115902
2173.789551,2168.078125,137005
2272.565186,2214.739064,74012
2103.750977,2045.875106,74013
2098.981934,2082.27417,136912
2107.85083,2011.979614,178905
2805.485352,1277.121216,74015
2577.685425,2342.440796,84101
2653.618774,2344.486206,84105
2241.108643,2767.855469,84104
2281.59668,2753.406494,84107
2718.571655,2316.313721,147108
2025.540527,1917.591309,84201
1980.312134,1935.781494,84203
2829.659946,1400.863908,84202
2770.498813,1387.812883,189113
1952.926392,1894.314331,84303
2007.147933,1966.679496,115510
1927.390503,1925.405396,116214
2267.465332,1508.067383,209402
2271.449882,2147.306083,84302
1940.708252,1858.547485,115105
2155.08667,2268.703857,94407
2112.003662,2301.65564,94412
2339.531782,2763.339866,94420
2330.321777,1077.59903,104702
1970.144287,1310.896729,104705
2389.826904,1434.467773,104801
2163.381592,1853.612305,104802
